T
694375
1588958
2829583
4312500
4985833
6378958
6671667
7660833
9472292
10437292
10553958
10855833
11922917
12382917
12575417
13065208
14289375
15005417
16235833
16949167
17630208
17890000
19394375
21345417
21676042
21773750
23154167
23184792
23684583
23790208
25152708
26093542
26592500
26842083
27706875
30089167
30544792
32086875
32521875
33706667
33735208
34201250
35671458
35745625
37266250
37526875
40177708
41228125
42393958
44624167
45570000
45610417
46965625
47433750
48728125
50594167
51265417
51963750
52190417
53814167
54007292
55775833
57086250
58882708
59481458
60046875
60760208
61206458
62938958
63511250
64364375
66444375
66617500
66644583
66995208
67483333
67977083
68568333
68727292
70960833
71552292
71954792
72181875
75012708
75336875
75734583
76206458
79225208
79412708
80956042
81316250
82173125
83263333
86591875
86949583
87190833
87332708
88124375
88148125
88595208
88892083
90848333
90876458
90995833
91506667
92756042
93782292
94177708
94715417
95062917
95667500
98477500
99466875
102783958
103133125
103543542
103956667
104036042
107207292
107798125
108005833
108090833
109362917
110738542
111322917
113522083
114161458
114969375
115061042
115650417
116216667
117191458
119743958
120286667
121308125
122316667
122583333
123628750
124593958
124916458
125305208
125597708
126030625
126642292
130820833
131090208
131546667
132028125
133229167
134473750
134657917
134975625
135020625
135655208
135861042
135950625
136678333
136747917
137344375
137835417
138919583
139334167
140115833
141400000
143407500
143743333
144023125
144665625
145381042
145434792
147110000
148516042
149769583
152352708
153678542
153999167
154044375
155485208
155784792
155900625
157805208
160701458
161585417
162057083
162797917
163345833
163598750
165304167
165439167
165833750
166976458
169181875
169712708
170044792
170490000
170690833
172076667
172432917
172618958
173411667
173505625
174058125
175273750
175612083
175791250
176112500
176573958
177270417
177517292
179576042
180605208
182537500
183898542
184279375
184631250
184880625
185164167
188456042
188529583
191819792
192207083
192269167
193935417
193963542
194711458
195296042
200344375
202306250
202347917
202553958
203535417
203932708
204305208
204857708
205161458
205223542
205304375
205455208
206354792
206496250
207080208
208006250
208556250
208974583
209056042
209542917
209649583
210953542
211094167
211445625
212553333
212968958
214176875
214568750
216283542
216370208
217485000
219912708
220154167
220916875
221945625
222343125
222360208
223330208
223681667
223802917
223971667
224037917
224406250
225485625
226448125
226815000
227506250
227637083
227764792
227967083
228100000
228150417
229357292
229667708
231582292
231820208
232820208
235832500
236432083
236488125
236917708
237753542
237865000
239175417
239280833
239400000
240272292
242265417
243108750
243503125
243898958
244803542
250763333
250901458
251042500
251745625
252501667
253653542
254410000
255146458
255856042
256230000
257092500
257765000
257805208
258159375
259110625
259286250
259480000
260627917
261109375
261460417
262025417
262423750
265500833
265587083
266281667
266586458
267338333
268086042
268589792
269040625
269497083
270189167
270465208
270589167
270894375
